SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,sector,index
SHSML,456.39,472.98,502.03,415.00,441.19,-15.20,-3.33%,542,['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
JLICL,169.70,174.99,174.99,172.00,172.00,2.30,1.36%,513,['INSURANCE'],['ALLSHR']
IDSM,22.18,23.10,23.10,23.10,23.10,0.92,4.15%,501,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
PSEL,"1,331.50","1,340.00","1,400.00","1,320.00","1,388.06",56.56,4.25%,450,['MISCELLANEOUS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
ELCM,226.27,226.20,229.79,214.20,223.03,-3.24,-1.43%,443,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
DIIL,53.53,50.50,54.99,50.50,53.53,0.00,0.00%,406,['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
FSWLNC,109.02,109.00,109.00,101.04,102.67,-6.35,-5.82%,403,"['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
BATA,"1,224.70","1,224.99","1,224.99","1,218.51","1,224.30",-0.40,-0.03%,392,['LEATHER & TANNERIES'],"['ALLSHR', 'KMIALLSHR']"
GOC,114.52,111.11,116.93,111.11,116.04,1.52,1.33%,381,['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
KCL,171.57,180.50,187.98,160.00,186.66,15.09,8.80%,343,['GLASS & CERAMICS'],"['ALLSHR', 'KMIALLSHR']"
EFUL,154.23,155.00,156.48,155.00,156.48,2.25,1.46%,310,['INSURANCE'],['ALLSHR']
FZCM,224.56,225.00,228.42,225.00,225.24,0.68,0.30%,302,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
HBLTETF,107.90,107.75,107.80,107.66,107.74,-0.16,-0.15%,300,['EXCHANGE TRADED FUNDS'],[]
FILNC,171.38,170.00,187.97,170.00,170.22,-1.16,-0.68%,232,['LEATHER & TANNERIES'],['ALLSHR']
SIEM,"1,540.00","1,503.00","1,550.01","1,503.00","1,537.18",-2.82,-0.18%,231,['CABLE & ELECTRICAL GOODS'],"['ALLSHR', 'KMIALLSHR']"
ASHT,21.19,22.14,22.14,20.76,21.19,0.00,0.00%,218,['TEXTILE WEAVING'],"['ALLSHR', 'KMIALLSHR']"
SHCM,58.47,60.00,60.00,60.00,58.47,0.00,0.00%,210,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
TICL,775.40,799.98,799.98,781.00,798.74,23.34,3.01%,209,['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
BTL,327.29,310.00,319.00,300.41,314.00,-13.29,-4.06%,203,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
AABS,"1,049.29","1,041.00","1,045.89","1,025.00","1,038.16",-11.13,-1.06%,199,['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
DMC,249.97,274.97,274.97,233.00,249.97,0.00,0.00%,164,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
AKDHL,159.78,164.49,164.90,160.00,159.78,0.00,0.00%,158,['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
ARPAK,57.06,62.70,62.72,59.01,57.06,0.00,0.00%,155,['MISCELLANEOUS'],['ALLSHR']
AHTM,88.21,90.99,90.99,79.40,88.21,0.00,0.00%,154,['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
POWERPS,23.60,25.50,25.50,25.50,23.60,0.00,0.00%,151,['CEMENT'],['ALLSHR']
OML,40.98,37.56,42.00,37.56,40.98,0.00,0.00%,149,['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
HAFL,383.21,383.00,419.00,344.89,351.11,-32.10,-8.38%,148,"['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
PCAL,167.16,168.80,169.79,168.75,167.16,0.00,0.00%,124,['CABLE & ELECTRICAL GOODS'],['ALLSHR']
ASLCPS,116.76,116.76,126.98,116.76,116.76,0.00,0.00%,109,['ENGINEERING'],['ALLSHR']
JDMT,107.54,105.02,105.02,105.02,107.54,0.00,0.00%,100,['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
PECONC,430.26,445.00,445.00,425.00,425.06,-5.20,-1.21%,94,['ENGINEERING'],['ALLSHR']
JDWS,830.35,830.00,880.00,820.00,827.19,-3.16,-0.38%,80,['SUGAR & ALLIED INDUSTRIES'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
RMPL,"9,380.51","9,396.99","9,396.99","8,502.00","9,300.29",-80.22,-0.85%,64,['FOOD & PERSONAL CARE PRODUCTS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
NESTLE,"7,955.25","8,047.98","8,100.00","8,000.00","8,030.25",75.00,0.94%,60,['FOOD & PERSONAL CARE PRODUCTS'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
FASM,275.19,270.00,285.00,270.00,275.19,0.00,0.00%,58,['TEXTILE COMPOSITE'],['ALLSHR']
